trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
7393010,GT-US,6,"UNION STATION",,1,100102101,shp-GT-US-51,0,0
3545060,GT-US,4,"UNION STATION",,1,100105606,shp-GT-US-51,0,0
6750010,CH-US,6,"UNION STATION",,1,100715101,shp-CH-US-03,0,0
3149010,RS-DP,6,"ROSSLYN",,0,100603101,shp-RS-DP-54,0,0
460050,GT-US,1,"UNION STATION",,1,100107505,shp-GT-US-51,0,0
5348070,EM-LP,3,"L'ENFANT PLAZA",,0,100505707,shp-EM-LP-53,2,2
3612020,WP-AM,7,"MCPHERSON SQUARE METRO",,0,100204202,shp-WP-AM-53,0,0
5927060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100201606,shp-WP-AM-53,0,0
7170020,GT-US,7,"UNION STATION",,1,100104202,shp-GT-US-51,0,0
2699050,EM-LP,1,"EASTERN MARKET",,1,100507505,shp-EM-LP-03,2,2
84020,WP-AM,7,"WOODLEY PARK METRO",,1,100207202,shp-WP-AM-03,0,0
2874010,EM-LP,6,"L'ENFANT PLAZA",,0,100502101,shp-EM-LP-53,2,2
1237030,RS-DP,5,"DUPONT CIRCLE",,1,100606303,shp-RS-DP-04,0,0
7171010,CH-US,6,"UNION STATION",,1,100709101,shp-CH-US-03,0,0
4319070,RS-DP,3,"ROSSLYN",,0,100604707,shp-RS-DP-54,0,0
4500050,NMS,1,"LINCOLN MEMORIAL",,1,100806505,shp-NMS-03,0,0
4866060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100203606,shp-WP-AM-53,0,0
6248050,EM-LP,1,"EASTERN MARKET",,1,100505505,shp-EM-LP-03,2,2
4647070,WP-AM,3,"MCPHERSON SQUARE METRO",,0,100205707,shp-WP-AM-53,0,0
5921020,EM-LP,7,"L'ENFANT PLAZA",,0,100502202,shp-EM-LP-53,2,2
