prices,adresses,sqm,city
Totalpris: 3 280 240 ,"Steinkjellergaten 1A, Bergen",45 ,Bergen
Totalpris: 8 016 170 ,"Skjolddalen 14A, Nesttun",38 ,Bergen
Totalpris: 3 998 500 ,"Lilletveitåsen 42, Nesttun",127 ,Bergen
Totalpris: 4 879 650 ,"Rådalslien 115, Rådal",109 ,Bergen
Totalpris: 3 293 112 ,"Ture Nermans vei 15, Fyllingsdalen",85 ,Bergen
Totalpris: 5 137 568 ,"Markeveien 12, Bergen",73 ,Bergen
Totalpris: 10 270 140 ,"Nesbakken 28, Tertnes",81 ,Bergen
Totalpris: 9 011 000 ,"Måseskjærveien 10, Bergen",157 ,Bergen
Totalpris: 3 270 750 ,"Øvre Fyllingsveien 55D, Laksevåg",93 ,Bergen
Eier (Selveier) ∙ Leilighet ∙ 3 soverom,"Kanalveien 46-48, Bergen",120 ,Bergen
Totalpris: 4 823 540 ,"Søre Renen 24, Bergen",154 ,Bergen
Totalpris: 8 713 500 ,"Nordre Nesjavegen 90, Hordvik",265 ,Bergen
Totalpris: 3 833 835 ,"Ortuflaten 66, Fyllingsdalen",73 ,Bergen
Totalpris: 3 588 890 ,"Sanddalsvegen 13A, Nesttun",61 ,Bergen
Totalpris: 5 628 026 ,"Morvikbrekkene 1A, Morvik",140 ,Bergen
Totalpris: 3 501 900 ,"Øvre Seimsmark 14, Indre Arna",155 ,Bergen
Totalpris: 2 701 991 ,"Lillehatten 399A, Fyllingsdalen",56 ,Bergen
Totalpris: 6 659 750 ,"Eidsvågveien 128A, Eidsvåg i Åsane",177 ,Bergen
Totalpris: 3 665 375 ,"Furulien 7, Eidsvågneset",70 ,Bergen
Totalpris: 8 526 310 ,"Bendixens vei 19B, Bergen",117 ,Bergen
Totalpris: 3 580 490 ,"Rådalslien 119, Rådal",67 ,Bergen
Totalpris: 7 903 640 ,"Sundts veg 188, Nesttun",104 ,Bergen
Totalpris: 4 990 000 ,"Siljustølvegen 21 - H0503 (Bolignr. 154 - Leil. D2), Rådal",84 ,Bergen
Totalpris: 7 688 720 - 9 941 640 ,"Jacob Kjødes veg 4A, Paradis",80 - 91 ,Bergen
Totalpris: 4 867 410 ,"Siljustølvegen 155 - H0401 (Bolignr. 92 - Leil A2), Rådal",81 ,Bergen
Totalpris: 2 885 900 ,"Vadmyrveien 26, Loddefjord",74 ,Bergen
Totalpris: 3 857 450 ,"Fanaflaten 15, Fana",130 ,Bergen
Totalpris: 4 141 899 ,"Olaf Ryes vei 11C, Bergen",50 ,Bergen
Totalpris: 3 679 970 ,"Nordahl Rolfsens vei 3, Bergen",66 ,Bergen
Totalpris: 4 010 400 ,"Kvernabekkvegen 107G, Fana",84 ,Bergen
Totalpris: 14 258 640 ,"Brennhaugen 15, Paradis",219 ,Bergen
Totalpris: 4 620 750 ,"Totlandsvegen 45, Nesttun",141 ,Bergen
Totalpris: 2 507 729 ,"Bjørndalsskogen 173, Bjørndalstræ",46 ,Bergen
Totalpris: 2 871 890 ,"Øvre Seimsmark 29F, Indre Arna",71 ,Bergen
Totalpris: 3 444 459 ,"Nattlandsveien 80A, Bergen",68 ,Bergen
Totalpris: 3 065 750 ,"Nattlandsveien 15, Bergen",45 ,Bergen
Totalpris: 7 690 940 ,"Allégaten 25, Bergen",89 ,Bergen
Totalpris: 5 894 990 ,"Michael Krohns gate 47, Bergen",73 ,Bergen
Totalpris: 3 280 890 ,"Løbergsveien 69D, Bergen",61 ,Bergen
Totalpris: 6 363 250 ,"Løtveitveien 9, Straumsgrend",190 ,Bergen
Totalpris: 5 368 525 ,"Lønborglien 48, Bergen",134 ,Bergen
Totalpris: 4 881 650 ,"Øvre Riplegården 97, Laksevåg",139 ,Bergen
Totalpris: 3 001 204 ,"Revahjellane 147, Indre Arna",70 ,Bergen
Totalpris: 4 500 990 ,"Fantoftvegen 40I, Bergen",77 ,Bergen
Totalpris: 2 862 779 ,"Bjørndalsskogen 51, Bjørndalstræ",47 ,Bergen
Totalpris: 2 985 105 ,"Magnus Barfots gate 7, Bergen",35 ,Bergen
Totalpris: 6 161 140 ,"Parkveien 20, Bergen",66 ,Bergen
Totalpris: 11 546 150 ,"Totlandsvegen 17, Nesttun",274 ,Bergen
Totalpris: 3 792 740 ,"Inger Bang Lunds vei 17, Bergen",45 ,Bergen
Totalpris: 3 076 890 ,"Bjørnsons gate 32, Bergen",48 ,Bergen
Totalpris: 4 928 890 ,"Skagetjernvegen 60, Blomsterdalen",197 ,Bergen
Totalpris: 5 231 021 ,"Michael Krohns gate 49, Bergen",65 ,Bergen
Totalpris: 3 588 890 ,"Schweigårds vei 28C, Bergen",73 ,Bergen
Totalpris: 3 924 440 - 13 257 340 ,"Storetveitvegen 138A, Paradis",40 - 130 ,Bergen
Totalpris: 4 490 000 ,"Moldahaugane, Espeland",100 ,Bergen
Totalpris: 3 347 694 ,"Bjørndalsskogen 121, Bjørndalstræ",109 ,Bergen
Totalpris: 7 441 995 - 9 541 995 ,"Kristofer Jansons vei 58, Bergen",95 - 134 ,Bergen
Totalpris: 3 969 121 ,"Sanddalskollen 11, Nesttun",94 ,Bergen
Totalpris: 4 121 656 ,"Asbjørnsens gate 8, Bergen",87 ,Bergen
Totalpris: 5 646 390 ,"Skipanesvegen 40, Hjellestad",44 ,Bergen
Totalpris: 4 142 781 ,"Søndre Skogveien 89, Bergen",111 ,Bergen
Totalpris: 4 108 540 ,"Gullfjellsvegen 472, Haukeland",112 ,Bergen
Totalpris: 9 049 250 ,"Bønesberget 17C, Bønes",152 ,Bergen
Totalpris: 3 230 975 ,"Våkleivskogen 38, Bønes",84 ,Bergen
Totalpris: 13 128 902 ,"Årstadgeilen 3, Bergen",281 ,Bergen
Totalpris: 8 733 000 ,"Stiaberget 179, Godvik",203 ,Bergen
Totalpris: 4 305 650 ,"Steinsvikskrenten 49, Rådal",77 ,Bergen
Totalpris: 4 107 465 ,"Troldhaugvegen 40, Paradis",60 ,Bergen
Totalpris: 3 270 750 ,"Hordvikneset 47A, Hordvik",83 ,Bergen
Totalpris: 2 498 900 ,"Herman Grans vei 43, Laksevåg",44 ,Bergen
Totalpris: 6 938 890 ,"KRÅVASSLIA 21, Flaktveit",179 ,Bergen
Totalpris: 3 075 050 ,"Alléen 4, Laksevåg",58 ,Bergen
Totalpris: 4 093 940 ,"Fosswinckels gate 29 snr. 6, Bergen",41 ,Bergen
Totalpris: 7 135 900 ,"Skålevikstølen 5D, Loddefjord",150 ,Bergen
Totalpris: 3 942 249 ,"Kirkegaten 24, Bergen",45 ,Bergen
Totalpris: 7 165 750 ,"Sandviksbodene 3A, Bergen",88 ,Bergen
Totalpris: 4 060 422 ,"Stølsvegen 93C, Arnatveit",115 ,Bergen
Totalpris: 3 269 750 ,"Johan Berentsens vei 83A, Laksevåg",75 ,Bergen
Totalpris: 2 658 981 ,"Brønndalsåsen 11, Loddefjord",44 ,Bergen
Totalpris: 3 089 481 ,"Klauvsteinen 91, Fyllingsdalen",98 ,Bergen
Totalpris: 4 100 650 ,"Skolegaten 1, Laksevåg",77 ,Bergen
Totalpris: 4 317 929 ,"Saudalen 64, Morvik",126 ,Bergen
Totalpris: 4 613 500 ,"Søndre Øyjorden 65, Bergen",104 ,Bergen
Totalpris: 5 074 990 ,"Vindharpevegen 8, Rådal",85 ,Bergen
Totalpris: 4 825 750 ,"Olderkjerret 45, Hordvik",204 ,Bergen
Totalpris: 4 095 926 ,"Langarinden 161, Nyborg",104 ,Bergen
Totalpris: 2 278 181 ,"Loddefjordveien 24, Loddefjord",49 ,Bergen
Totalpris: 3 111 003 ,"Nebbestølen 29, Fyllingsdalen",77 ,Bergen
Totalpris: 4 412 990 ,"Lappen 9, Bergen",67 ,Bergen
Totalpris: 3 083 102 ,"Hans Hauges gate 26, Bergen",45 ,Bergen
Totalpris: 3 134 186 ,"J. L. Mowinckels vei 13, Fyllingsdalen",63 ,Bergen
Totalpris: 3 139 150 ,"Langarinden 322, Nyborg",76 ,Bergen
Totalpris: 4 102 650 ,"Hetlevikåsen 13, Loddefjord",102 ,Bergen
Totalpris: 4 625 900 ,"Statsminister Michelsens veg 60E, Paradis",103 ,Bergen
Totalpris: 2 896 741 ,"Søndre Skogveien 115, Bergen",69 ,Bergen
Totalpris: 3 214 822 ,"Nygårdsgaten 55, Bergen",105 ,Bergen
Totalpris: 4 295 750 ,"Steinsvikvegen 262, Rådal",63 ,Bergen
Totalpris: 3 504 760 ,"Øvre Fredlundveien 19B, Bergen",42 ,Bergen
Totalpris: 12 850 500 ,"Nubbebakken 18, Bergen",86 ,Bergen
Totalpris: 4 920 650 ,"Sandslimarka 267, Sandsli",105 ,Bergen
Totalpris: 4 398 490 ,"Sverres gate 7, Bergen",184 ,Bergen
Totalpris: 2 646 240 ,"Vestre Vadmyra 31, Loddefjord",71 ,Bergen
Totalpris: 3 424 727 ,"Breimyra 78, Flaktveit",64 ,Bergen
Totalpris: 3 216 025 ,"Grønnestølslien 43, Bergen",74 ,Bergen
Totalpris: 4 734 121 ,"Michael Krohns gate 63, Bergen",107 ,Bergen
Totalpris: 5 115 990 ,"Straumesvingen 10D, Straumsgrend",75 ,Bergen
Totalpris: 10 762 692 ,"Damsgårdsveien 91, Bergen",60 ,Bergen
