trans_id,lang,translation
"Eira - Töölö - Sörnäinen (M) - Käpylä",fi,"Eira - Töölö - Sörnäinen (M) - Käpylä"
"Perämiehenkatu 5",sv,"Styrmansgatan 5"
"Arabia-Oulunkylä as.-Maunula-Lassila-Pitäjänmäki as.-Uusmäki",sv,"Arabia-Åggelby st.-Månsas-Lassas-Sockenbacka st.-Nybacka"
"Koukkuveräjä",fi,"Koukkuveräjä"
"Mansikkatie",fi,"Mansikkatie"
"Artur Lindholmin tie",sv,"Artur Lindholms väg"
"Vuosaari(M) - Leikosaarentie - Uutela",sv,"Nordsjö(M) - Lekholmsvägen - Nybondas"
"Harjulankatu",fi,"Harjulankatu"
"Ruukinranta",fi,"Ruukinranta"
"Hämäläisenmutka",fi,"Hämäläisenmutka"
"Viikin kirkko",sv,"Vik kyrka"
"Kaislaranta",sv,"Sävstranden"
"Teinikuja 4",sv,"Djäknestigen 4"
"Matinkylä-Järvenperä",fi,"Matinkylä-Järvenperä"
"Aviapolis-Kalajärvi",fi,"Aviapolis-Kalajärvi"
"Kuusikoti",fi,"Kuusikoti"
"Urheilupuistontie",sv,"Idrottsparksvägen"
"Kissankellontie 2-4",sv,"Blåklocksvägen 2-4"
"Energia-aukio",fi,"Energia-aukio"
"Ketokiventie 1",fi,"Ketokiventie 1"
"Alokastie",sv,"Rekrytvägen"
"Kaurakaski",sv,"Havresveden"
"Kringelmalmi",sv,"Kringelmalmen"
"Lähderannantie",sv,"Källstrandsvägen"
"Pellonkulma",sv,"Pellonkulma"
"Lentäjäntie",fi,"Lentäjäntie"
"Kamppi, lait. 52",sv,"Kampen, pf. 52"
"Ohdaketie",sv,"Ohdaketie"
"Siltasaarenkatu 11",fi,"Siltasaarenkatu 11"
"Kivikonkaari 39",fi,"Kivikonkaari 39"
"Ruoholahti (Selkämerenkatu)",sv,"Gräsviken (Bottenhavsgatan)"
"Hietakummuntie 1",sv,"Sandkullavägen 1"
"Karamzinin koulu",fi,"Karamzinin koulu"
"Synapsia",sv,"Synapsia"
"Nevaniityntie",sv,"Mossängsvägen"
"Rinnekodintie",sv,"Rinnehemsvägen"
"Seivästie 4",sv,"Hoppstavsvägen 4"
"Keravan asema, lait. 3",fi,"Keravan asema, lait. 3"
"Kivikonla-Kontula(M)",fi,"Kivikonla-Kontula(M)"
"Tuluskuja",fi,"Tuluskuja"
"Pilotti",fi,"Pilotti"
"Mosabackantie",fi,"Mosabackantie"
"Sörnäinen (M)",sv,"Sörnäs (M)"
"Vantaanportti",sv,"Vandaporten"
"Toinen linja 25",fi,"Toinen linja 25"
"Kamppi-Kivistö as.-Luhtaanmäki (-Klaukkala-Rajamäki)",fi,"Kamppi-Kivistö as.-Luhtaanmäki (-Klaukkala-Rajamäki)"
"Herttoniemi (M) - Roihuvuori - Itäkeskus (M)",fi,"Herttoniemi (M) - Roihuvuori - Itäkeskus (M)"
"Miilumäki",fi,"Miilumäki"
"Lintuvaaran koulu",sv,"Lintuvaaran koulu"
"Suvisaaristo-Kaukl.",sv,"Sommaröarna-Köklax"
"Kamppi-Jakomäki",fi,"Kamppi-Jakomäki"
"Majavankierros",fi,"Majavankierros"
"Töölöntori",sv,"Tölö torg"
"Testipysäkintie 3",fi,"Testipysäkintie 3"
"Eviskog",fi,"Eviskog"
"Espoonlahti (M) - Kivenlahti (M) - Saunalahti - Kauklahti",sv,"Esboviken (M) - Stensvik (M) - Bastvik - Köklax"
"Pirkkolan liikuntap.",fi,"Pirkkolan liikuntap."
"Pirkkolan Liikuntap.",fi,"Pirkkolan Liikuntap."
"Salpausseläntie 11",fi,"Salpausseläntie 11"
"Hansatie",sv,"Hansavägen"
"Lauttasaari-Mankkaa",fi,"Lauttasaari-Mankkaa"
"Visbynkatu",fi,"Visbynkatu"
"Niittyrinne",fi,"Niittyrinne"
"Uranuksenkuja",fi,"Uranuksenkuja"
"Piippolanpolku 8",fi,"Piippolanpolku 8"
"Paijala-Hyrylä-Keravan asema",fi,"Paijala-Hyrylä-Keravan asema"
"Viinikkala",fi,"Viinikkala"
"Hankasuontie",fi,"Hankasuontie"
"Soidintie",fi,"Soidintie"
"Malmi",fi,"Malmi"
"Saarniraiviontie",fi,"Saarniraiviontie"
"Punametsän talli",fi,"Punametsän talli"
"Timpurinkuja",sv,"Timmermansgränden"
"Olari (Latokaski-)",fi,"Olari (Latokaski-)"
"Sumatrantie",sv,"Sumatravägen"
"Länsiterm. - Bulevardi - Töölö - Sörnäinen (M) - Käpylä",fi,"Länsiterm. - Bulevardi - Töölö - Sörnäinen (M) - Käpylä"
"Kuninkaantie 28",fi,"Kuninkaantie 28"
"Karantie",sv,"Karavägen"
"Karamäki",fi,"Karamäki"
"L. Kuninkaantie 163",fi,"L. Kuninkaantie 163"
"Taistelukoulu",fi,"Taistelukoulu"
"Traverssikuja",fi,"Traverssikuja"
"Kummelirannanportti",fi,"Kummelirannanportti"
"Högberg",fi,"Högberg"
"Brusaksentie",fi,"Brusaksentie"
