price,address,area,latLong.longitude,latLong.latitude,country,price_per_sqm
332150.0,"7668 SE Ogden St, Portland, OR 97206",92.995903,-122.58407,45.470806,USA,3571.662721528711
409500.0,"7418 SE Insley St, Portland, OR 97206",165.924758,-122.586105,45.483555,USA,2467.9861217576704
468650.0,"725 NE 52nd Ave, Portland, OR 97213",159.886063,-122.6104,45.52877,USA,2931.149790085206
623350.0,"6139 SW 27th Ave, Portland, OR 97239",279.080612,-122.70475,45.479008,USA,2233.584037002184
691509.0,"7814 SE 36th Ave, Portland, OR 97202",215.16334799999998,-122.62593,45.466797,USA,3213.8791593817364
454090.0,"3208 NE 165th Ln, Portland, OR 97230",206.24466,-122.492065,45.546238,USA,2201.7054890051454
241150.0,"1410 SW 11th Ave, Portland, OR",,-122.68548,45.515415,USA,
613340.0,"1175 SW Florida St, Portland, OR 97219",171.034423,-122.69192,45.475567,USA,3586.0617368235867
728000.0,"260 SE Spokane St, Portland, OR 97202",240.711673,-122.66241,45.463554,USA,3024.3651706911614
535990.0,"5424 N Princeton St, Portland, OR 97203",216.278184,-122.72808,45.579205,USA,2478.243482939546
705250.0,"5625 N Greeley Ave, Portland, OR 97217",255.576153,-122.69586,45.564003,USA,2759.451504851472
341250.0,"7855 SE 66th Ave, Portland, OR 97206",93.646224,-122.596176,45.466553,USA,3644.0337412857134
1092000.0,"13340 NW Springville Ln, Portland, OR 97229",234.580075,-122.81512,45.565037,USA,4655.126826095524
350350.0,"3705 N Alaska St, Portland, OR 97217",107.024256,-122.704315,45.587666,USA,3273.556977588333
750750.0,"11602 SW 41st Ave, Portland, OR 97219",302.677974,-122.718925,45.44166,USA,2480.3588780464083
454090.0,"2305 SW Cedar Hills Blvd, Portland, OR 97225",319.400514,-122.80273,45.503555,USA,1421.6946438602163
591045.0,"215 S Gibbs St, Portland, OR 97239",215.906572,-122.6754,45.499508,USA,2737.5035161041783
2957500.0,"12218 S Breyman Ave, Portland, OR 97219",676.612549,-122.65338,45.437733,USA,4371.0392371099815
818995.4500000001,"5460 NW Meadowlands Ter, Portland, OR 97229",220.737528,-122.84201,45.55896,USA,3710.268287502069
222950.0,"14974 SE Caruthers Ct, Portland, OR 97233",109.811346,-122.50897,45.50673,USA,2030.300220525482
432250.0,"245 SW Meade St, Portland, OR",,-122.68051,45.5032,USA,
804000.0,"5709 N Vancouver Ave, Portland, OR 97217",424.195098,-122.66911,45.564114,Canada,1895.3542928494662
514150.0,"8955 SW Terwilliger Blvd, Portland, OR 97219",161.65122,-122.68526,45.46032,USA,3180.613174462896
327600.0,"832 N Stafford St, Portland, OR 97217",104.887487,-122.67554,45.576294,USA,3123.3468297319396
545909.0,"10042 NE Failing St, Portland, OR 97220",235.04459,-122.55899,45.550964,USA,2322.5763247730993
318409.0,"6840 N Pittsburg Ave, Portland, OR 97203",99.963628,-122.75735,45.587307,USA,3185.248538598459
377559.0,"7988 SE Grand Ave, Portland, OR 97202",104.237166,-122.6608,45.465866,USA,3622.1149757659373
614250.0,"12030 SW 64th Ave, Portland, OR 97219",239.87554599999999,-122.74211,45.438515,USA,2560.702873814407
