price,address,area,city,country,price_per_sqm,lat_long
379121.54,"Skottegaten 6, Bergen",82.0,Bergen,Norway,4623.433414634146,"(60.393657, 5.3161315)"
230771.282,"Frydenbølien 16, Bergen",46.0,Bergen,Norway,5016.767,"(60.380684, 5.3108266)"
290885.54,"Skottegaten 6, Bergen",66.0,Bergen,Norway,4407.356666666667,"(60.393657, 5.3161315)"
570263.936,"Sandsliåsen 59, Sandsli",62.0,Bergen,Norway,9197.805419354838,"(60.2929683, 5.2902334)"
399545.938,"Adolph Bergs vei 14, Bergen",44.0,Bergen,Norway,9080.5895,"(60.3593934, 5.3627693)"
935047.9,"Nils Langhelles vei 31, Fyllingsdalen",89.0,Bergen,Norway,10506.15617977528,"(60.3487884, 5.3064346)"
441459.5,"Einerkollen 39, Loddefjord",85.0,Bergen,Norway,5193.641176470587,"(60.3583647, 5.2316486)"
341109.196,"Kokstadvegen 19, trinn 2, Kokstad",199.0,Bergen,Norway,1714.1165628140702,"(nan, nan)"
308580.9,"Nye Sædalsveien 94, Bergen",206.0,Bergen,Norway,1497.9655339805824,"(60.3399357, 5.3760893)"
573335.34,"Løbergsveien 42, Bergen",55.0,Bergen,Norway,10424.278909090908,"(60.3731643, 5.3369232)"
905183.54,"Smøråslia 27, Rådal",68.0,Bergen,Norway,13311.522647058822,"(60.297163, 5.3507696)"
817033.5399999999,"Skjoldlia 35, Rådal",141.0,Bergen,Norway,5794.564113475177,"(60.3076191, 5.3329183)"
404694.5,"Kråvasslia 193, Flaktveit",261.0,Bergen,Norway,1550.5536398467432,"(60.4586552, 5.3748999)"
467250.9,"Skottegaten 17, Bergen",200.0,Bergen,Norway,2336.2545,"(60.3942203, 5.3150322)"
316844.64,"Garnesvegen 14, Indre Arna",106.0,Bergen,Norway,2989.1003773584903,"(60.4280671, 5.4680902)"
689068.12,"Kvernabekkvegen 96, Fana",74.0,Bergen,Norway,9311.73135135135,"(60.2686893, 5.3488242)"
559793.0059999999,"Dolvikbakken 159, Søreidgrend",62.0,Bergen,Norway,9028.919451612905,"(60.307742, 5.267152)"
533306.64,"Jernbanebakken 3, Bergen",126.0,Bergen,Norway,4232.592380952381,"(60.3905051, 5.3347596)"
1498605.9,"Ole Irgens' vei 14, Bergen",139.0,Bergen,Norway,10781.33741007194,"(60.387939, 5.350992)"
419575.166,"Erleveien 20, Bergen",93.0,Bergen,Norway,4511.560924731182,"(60.361821, 5.369335)"
181376.15,"Christian Michelsens gate 2B, Bergen",174.0,Bergen,Norway,1042.3916666666669,"(60.3935512, 5.3233543)"
246875.9,"Øvre Stadionveien 18A, Laksevåg",65.0,Bergen,Norway,3798.090769230769,"(60.3816199, 5.2989007)"
947181.64,"Nordeidstraumen 11, Søreidgrend",13.0,Bergen,Norway,72860.12615384614,"(60.320104, 5.27406)"
199931.08,"Salhusvegen 269, Salhus",46.0,Bergen,Norway,4346.3278260869565,"(60.5074654, 5.2673335)"
1021015.22,"Fanastølen 4, Fana",169.0,Bergen,Norway,6041.510177514792,"(60.257886, 5.342737)"
410004.14,"Hatlestad terrasse 32, Nesttun",60.0,Bergen,Norway,6833.4023333333325,"(60.29043, 5.380924)"
287447.604,"Nordåsbrotet 109, Rådal",228.0,Bergen,Norway,1260.735105263158,"(60.3058828, 5.3043472)"
690206.7599999999,"Sundts veg 60, Nesttun",73.0,Bergen,Norway,9454.88712328767,"(60.31495, 5.337437)"
379065.64,"Møllendalsveien 68D, Bergen",130.0,Bergen,Norway,2915.889538461538,"(60.380448, 5.352505)"
661655.9639999999,"Eidsvågveien 18, Eidsvågneset",246.0,Bergen,Norway,2689.658390243902,"(60.4429224, 5.2828432)"
411543.54,"Høgstølen 36, Breistein",144.0,Bergen,Norway,2857.94125,"(60.4873741, 5.3988686)"
652330.6399999999,"Vestre Rå 92, Rådal",121.0,Bergen,Norway,5391.162314049586,"(60.2909807, 5.309154)"
351887.232,"Vindharpevegen 6E, Rådal",73.0,Bergen,Norway,4820.37304109589,"(60.299873, 5.3096057)"
424519.22,"Ådnavegen 25, Indre Arna",69.0,Bergen,Norway,6152.452463768115,"(60.4247558, 5.4689604)"
531272.74,"Dolvikbakken, Søreidgrend",130.0,Bergen,Norway,4086.7133846153847,"(nan, nan)"
634318.7999999999,"Siljustølvegen 24F, Rådal",154.0,Bergen,Norway,4118.953246753246,"(60.290996, 5.314385)"
448976.244,"Sandviksveien 80, Bergen",47.0,Bergen,Norway,9552.68604255319,"(60.4030345, 5.3223936)"
345771.6,"Sandsli Stasjon | Sandslihovden 32-36, Sandsli",60.0,Bergen,Norway,5762.86,"(60.298216, 5.275073)"
362656.84,"Haukedalsbotn 18L, Tertnes",80.0,Bergen,Norway,4533.210499999999,"(60.4612317, 5.2992692)"
350668.698,"Bredalsmarken 1, Bergen",61.0,Bergen,Norway,5748.667180327869,"(60.3870081, 5.3165199)"
341290.226,"Våkleivskogen 88, Bønes",78.0,Bergen,Norway,4375.515717948718,"(60.3282141, 5.2896571)"
750263.9999999999,"Sandsliåsen 41, Sandsli",118.0,Bergen,Norway,6358.169491525423,"(60.296758, 5.29043)"
209086.64,"Monrad Mjeldes vei 3, Laksevåg",64.0,Bergen,Norway,3266.97875,"(60.3755704, 5.3053605)"
385301.5,"Kong Oscars gate 25B, Bergen",48.0,Bergen,Norway,8027.114583333332,"(60.3935643, 5.3299838)"
