from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:10221,RUT:ServiceJourney:e3b0fde8243bda504bde1cc8efb03057,NSR:Quay:10226,RUT:ServiceJourney:80a623492305f8da8db4c3384e5f3a32,1
NSR:Quay:10102,RUT:ServiceJourney:c142d1ae8940d6dececda640ac40b3ec,NSR:Quay:10100,RUT:ServiceJourney:ad01b11a48c6c9e83d89419659beac3f,1
NSR:Quay:10221,RUT:ServiceJourney:0fd72afb9dca73362af60fcd8944cf69,NSR:Quay:10226,RUT:ServiceJourney:240628c759d41a9c9783761f7bca2eea,1
NSR:Quay:10097,RUT:ServiceJourney:c355bceabe60e0293f8e7c1fb21de445,NSR:Quay:10102,RUT:ServiceJourney:fec47a6726b1ae54a51b12d2605b3b39,1
NSR:Quay:8250,RUT:ServiceJourney:01fec00fc0628faadddc3e2799fef094,NSR:Quay:8250,RUT:ServiceJourney:95acdcc270b936a16bf9616671f1670f,1
NSR:Quay:8250,RUT:ServiceJourney:b9b224712cab7cc0436863535ad75958,NSR:Quay:8252,RUT:ServiceJourney:2076f42b54615a60a8e6eac6613644da,1
NSR:Quay:7786,RUT:ServiceJourney:ea28d79af4127143f65ed38f65fb0ddf,NSR:Quay:7786,RUT:ServiceJourney:e70556a1952a000ba550de2097b24b27,1
NSR:Quay:6816,RUT:ServiceJourney:2a726b05f2c9b081003ad05a0c5de259,NSR:Quay:6817,RUT:ServiceJourney:b4f6546c30b8d0750c80ac4acfa7489f,1
NSR:Quay:10100,RUT:ServiceJourney:8d82aeee11575528e50e3440d9162993,NSR:Quay:10102,RUT:ServiceJourney:c4d6cd636c349be727a637726deb3c7d,1
NSR:Quay:8911,RUT:ServiceJourney:167b771e8aad4a27bc83eb6b05ab795a,NSR:Quay:8911,RUT:ServiceJourney:dbc527640d53f34a34d486eaf7751618,1
NSR:Quay:8250,RUT:ServiceJourney:43964ec456044db1518b0725b99b88df,NSR:Quay:8250,RUT:ServiceJourney:bb9f5f97225d7bb5409723b165b8d4b4,1
NSR:Quay:10098,RUT:ServiceJourney:b03c47306316137db493d9b43e004124,NSR:Quay:10100,RUT:ServiceJourney:91c4840fe47c14ca12147f1e1de03803,1
NSR:Quay:6814,RUT:ServiceJourney:36aa9a07ce5886c46069f86cc904c3c7,NSR:Quay:6816,RUT:ServiceJourney:1fc2e26f8ca0f95c58a39748c8139728,1
NSR:Quay:10100,RUT:ServiceJourney:864b56a13b3aad7c0a161f4d8d975b7d,NSR:Quay:10102,RUT:ServiceJourney:8b769f839756c0b20cc280adff3f1b97,1
