stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:10157,Algarheim skole,60.144899,11.251391,,,NSR:StopPlace:5548,,700,
NSR:Quay:10158,Holterteigen,59.662860,10.646248,,,NSR:StopPlace:5549,,700,
NSR:Quay:10159,Holterteigen,59.662575,10.646331,,,NSR:StopPlace:5549,,700,
NSR:Quay:101591,Rustad,59.729749,10.992371,,,NSR:StopPlace:59554,,700,
NSR:Quay:101592,Rustad,59.729646,10.992269,,,NSR:StopPlace:59554,,700,
NSR:Quay:101593,Rustadstuen,59.726809,11.000471,,,NSR:StopPlace:59555,,700,
NSR:Quay:101594,Rustadstuen,59.726920,11.000431,,,NSR:StopPlace:59555,,700,
NSR:Quay:101595,Ski sykehus,59.724168,10.842897,,,NSR:StopPlace:59556,,700,
NSR:Quay:101596,Ski sykehus,59.725008,10.841899,,,NSR:StopPlace:59556,,700,
NSR:Quay:101597,Fugleåsen,59.771902,10.852856,,,NSR:StopPlace:59558,,700,
NSR:Quay:10160,Vardekroken,60.019204,11.047002,,,NSR:StopPlace:5550,,700,
NSR:Quay:10161,Vardekroken,60.018914,11.047303,,,NSR:StopPlace:5550,,700,
NSR:Quay:10162,Seiersten,59.667155,10.639261,,,NSR:StopPlace:5551,,700,
NSR:Quay:10163,Seiersten,59.667089,10.637587,,,NSR:StopPlace:5551,,700,
NSR:Quay:10164,Vardeveien,60.016536,11.051736,,,NSR:StopPlace:5552,,700,
NSR:Quay:10165,Vardeveien,60.015615,11.051994,,,NSR:StopPlace:5552,,700,
NSR:Quay:10166,Seiersten skole,59.667597,10.639561,,,NSR:StopPlace:5553,,700,
NSR:Quay:101669,Herslebs gate,59.919192,10.762307,,,NSR:StopPlace:59675,,700,
NSR:Quay:10167,Lurudveien,60.011269,11.047314,i Trondheimsveien,,NSR:StopPlace:5554,,700,
NSR:Quay:101670,Herslebs gate,59.919413,10.762222,,,NSR:StopPlace:59675,,700,
NSR:Quay:10168,Lurudveien,60.011243,11.047606,i Trondheimsveien,,NSR:StopPlace:5554,,700,
NSR:Quay:10169,Rulnes,60.141037,11.208640,,,NSR:StopPlace:5555,,700,
NSR:Quay:10170,Rulnes,60.140951,11.211116,,,NSR:StopPlace:5555,,700,
NSR:Quay:10171,Lysne,59.666288,10.636268,i Osloveien,,NSR:StopPlace:5556,,700,
NSR:Quay:10172,Lysne,59.666009,10.634741,i Grandeveien,,NSR:StopPlace:5556,,700,
NSR:Quay:10173,Berger geopark,60.016478,11.059979,,,NSR:StopPlace:5557,,700,
NSR:Quay:101739,Sundet,59.923068,11.169287,,,NSR:StopPlace:4319,,700,
NSR:Quay:10174,Berger geopark,60.015315,11.057474,,,NSR:StopPlace:5557,,700,
NSR:Quay:101741,Sofienbergparken,59.923184,10.761119,,,NSR:StopPlace:59728,,700,
NSR:Quay:101742,Sofienbergparken,59.923591,10.761315,,,NSR:StopPlace:59728,,700,
NSR:Quay:10175,Grøndal,59.663326,10.633953,,,NSR:StopPlace:5558,,700,
NSR:Quay:10176,Industriveien,60.009402,11.042923,,,NSR:StopPlace:5559,,700,
NSR:Quay:10177,Industriveien,60.008963,11.041630,,,NSR:StopPlace:5559,,700,
NSR:Quay:101777,Wessels plass,59.912290,10.739278,,,NSR:StopPlace:4055,,700,
NSR:Quay:101778,Kvadraturen,59.910232,10.745120,,,NSR:StopPlace:4016,,700,
NSR:Quay:10178,Lauten nordre,60.087746,11.181636,,,NSR:StopPlace:5560,,700,
NSR:Quay:10179,Drøbak kirke,59.665165,10.628114,,,NSR:StopPlace:5561,,700,
NSR:Quay:10180,Drøbak kirke,59.665262,10.628065,,,NSR:StopPlace:5561,,700,
NSR:Quay:10181,Søndre Berger,60.011965,11.066896,,,NSR:StopPlace:5562,,700,
NSR:Quay:10182,Hestefaret,60.007070,11.039457,,,NSR:StopPlace:5563,,700,
NSR:Quay:10183,Skrivergårdskogen,59.667021,10.631904,,,NSR:StopPlace:5564,,700,
NSR:Quay:10184,Hestefaret,60.006536,11.038500,,,NSR:StopPlace:5563,,700,
NSR:Quay:10185,Skrivergårdskogen,59.667735,10.630866,,,NSR:StopPlace:5564,,700,
NSR:Quay:10186,Sagdalen,59.957262,11.016991,i Strømsveien,,NSR:StopPlace:5565,,700,
NSR:Quay:10187,Sagdalen,59.956865,11.015170,i Strømsveien,,NSR:StopPlace:5565,,700,
NSR:Quay:10188,Sagdalen,59.957789,11.016465,i Skjettenveien,,NSR:StopPlace:5565,,700,
NSR:Quay:101886,Stortorvet,59.913131,10.745198,,,NSR:StopPlace:4151,,700,
NSR:Quay:101887,Tinghuset,59.915198,10.741324,,,NSR:StopPlace:59832,,700,
NSR:Quay:101888,Tinghuset,59.915130,10.741255,,,NSR:StopPlace:59832,,700,
NSR:Quay:10189,Drøbak brygge,59.657896,10.630045,,,NSR:StopPlace:5566,,700,
NSR:Quay:10192,Løkendalen,60.097435,11.174665,,,NSR:StopPlace:5567,,700,
NSR:Quay:10193,Tandberg,59.983056,11.017479,,,NSR:StopPlace:5568,,700,
NSR:Quay:10194,Tandberg,59.982232,11.013783,,,NSR:StopPlace:5568,,700,
NSR:Quay:10195,Drøbak,59.660983,10.627754,,,NSR:StopPlace:5569,,1000,
NSR:Quay:10196,Kjellerholen,59.979370,11.014322,,,NSR:StopPlace:5570,,700,
NSR:Quay:10197,Kjellerholen,59.979814,11.013370,,,NSR:StopPlace:5570,,700,
NSR:Quay:101973,Øvre Sogn,59.956267,10.722227,,,NSR:StopPlace:59904,,700,
NSR:Quay:10199,Kjeller bru,59.980226,11.010436,,,NSR:StopPlace:5572,,700,
NSR:Quay:10200,Kjeller bru,59.980143,11.010929,,,NSR:StopPlace:5572,,700,
NSR:Quay:10201,Oscarsborg vestre kai,59.674387,10.604194,,,NSR:StopPlace:5573,,1000,
NSR:Quay:102011,Prost Hallings vei,59.916555,10.819669,,,NSR:StopPlace:58161,,700,
NSR:Quay:102013,Bryn skole,59.913831,10.822893,,,NSR:StopPlace:59782,,700,
NSR:Quay:102015,Fougners vei,59.924853,10.780756,,,NSR:StopPlace:58162,,700,
NSR:Quay:102016,Fougners vei,59.924752,10.781659,,,NSR:StopPlace:58162,,700,
NSR:Quay:102017,Løren,59.929785,10.790245,Retning Vestli,,NSR:StopPlace:58163,,401,1
NSR:Quay:102018,Løren,59.929861,10.790361,Retning Storo,,NSR:StopPlace:58163,,401,2
NSR:Quay:10202,Flatby,60.097745,11.188749,,,NSR:StopPlace:5574,,700,
NSR:Quay:10203,Flatby,60.098023,11.188639,,,NSR:StopPlace:5574,,700,
NSR:Quay:10204,Kjeller,59.973246,11.042421,i Kunnskapsveien,,NSR:StopPlace:5575,,700,
NSR:Quay:102043,Nordeng,59.723653,10.783776,,,NSR:StopPlace:58174,,700,
NSR:Quay:102044,Nordeng,59.723817,10.783569,,,NSR:StopPlace:58174,,700,
NSR:Quay:102046,Fugleveien,59.668048,10.659750,,,NSR:StopPlace:5537,,700,
NSR:Quay:10205,Kjeller,59.972954,11.041284,i Fetveien,,NSR:StopPlace:5575,,700,
NSR:Quay:102053,Løken,59.795829,11.465620,,,NSR:StopPlace:3882,,700,
NSR:Quay:102054,Sætre bussterminal,59.680650,10.530071,,,NSR:StopPlace:15338,,700,B
NSR:Quay:102059,Bjørkelangen skole,59.874285,11.559269,,,NSR:StopPlace:3789,,700,
NSR:Quay:10206,Kjeller,59.972172,11.044132,i Fetveien,,NSR:StopPlace:5575,,700,
NSR:Quay:102060,Bjørkelangen skole,59.874454,11.560109,,,NSR:StopPlace:3789,,700,
NSR:Quay:10207,Drøbak torg,59.662827,10.629617,,,NSR:StopPlace:5576,,700,
NSR:Quay:10208,Drøbak torg,59.663375,10.629543,,,NSR:StopPlace:5576,,700,
NSR:Quay:102096,Nationaltheatret,59.915220,10.730601,,,NSR:StopPlace:64015,,700,J
NSR:Quay:10210,Vestengveien,59.974489,11.032746,,,NSR:StopPlace:5577,,700,
NSR:Quay:10211,Storgata,59.660446,10.630082,,,NSR:StopPlace:5578,,700,
NSR:Quay:10212,Vestengveien,59.974559,11.033404,,,NSR:StopPlace:5577,,700,
NSR:Quay:102124,Øvre Sogn,59.956184,10.721994,,,NSR:StopPlace:59904,,700,
NSR:Quay:102125,Gaustadveien,59.953990,10.717995,,,NSR:StopPlace:59921,,700,
NSR:Quay:102126,Gaustadveien,59.953957,10.717764,,,NSR:StopPlace:59921,,700,
NSR:Quay:102127,Gaustad sykehus,59.951398,10.716404,,,NSR:StopPlace:59922,,700,
NSR:Quay:102128,Gaustad sykehus,59.950934,10.716739,,,NSR:StopPlace:59922,,700,
NSR:Quay:102129,Rikshospitalet,59.947951,10.716450,i Sognsvannsveien,,NSR:StopPlace:6264,,700,
NSR:Quay:10213,Storgata,59.660918,10.629938,,,NSR:StopPlace:5578,,700,
NSR:Quay:10214,Fritidshuset,59.970825,11.048156,,,NSR:StopPlace:5579,,700,
NSR:Quay:10215,Håøya,59.702050,10.568247,,,NSR:StopPlace:5580,,1000,
NSR:Quay:10216,Fritidshuset,59.970783,11.047882,,,NSR:StopPlace:5579,,700,
NSR:Quay:10217,Stokker,60.068402,11.214775,,,NSR:StopPlace:5581,,700,
NSR:Quay:102177,Rud,59.866442,11.530275,,,NSR:StopPlace:3560,,700,
NSR:Quay:10218,Stokker,60.068371,11.214471,,,NSR:StopPlace:5581,,700,
NSR:Quay:10219,Holtveien,59.976387,11.023753,,,NSR:StopPlace:5582,,700,
NSR:Quay:10220,Holtveien,59.976287,11.023608,,,NSR:StopPlace:5582,,700,
NSR:Quay:10221,Nesoddtangen,59.870848,10.657275,,,NSR:StopPlace:5583,,1000,AB
NSR:Quay:10222,Nesoddtangen,59.871064,10.656741,,,NSR:StopPlace:5583,,1000,C
NSR:Quay:102220,Gran,59.772080,10.986073,,,NSR:StopPlace:5335,,700,
NSR:Quay:10223,Åråsen,59.961242,11.059813,,,NSR:StopPlace:5584,,700,
NSR:Quay:10225,Åråsen,59.961511,11.061194,,,NSR:StopPlace:5584,,700,
NSR:Quay:102259,Lurudveien,60.010598,11.047163,i Høgslundveien,,NSR:StopPlace:5554,,700,
NSR:Quay:10226,Nesoddtangen,59.870475,10.656773,,,NSR:StopPlace:5587,,700,
NSR:Quay:102260,Lurudveien,60.010513,11.047099,i Høgslundveien,,NSR:StopPlace:5554,,700,
NSR:Quay:102261,Søndre Berger,60.011914,11.067044,,,NSR:StopPlace:5562,,700,
NSR:Quay:10227,Prestmoen,60.079285,11.147515,,,NSR:StopPlace:5586,,700,
NSR:Quay:10230,St. Magnus plass,59.959701,11.056758,,,NSR:StopPlace:5588,,700,
NSR:Quay:102319,Majorstuen,59.929088,10.715910,,,NSR:StopPlace:4473,,700,C
NSR:Quay:10232,St. Magnus plass,59.959752,11.056218,,,NSR:StopPlace:5588,,700,
NSR:Quay:102382,Søndre Mangen,59.955163,11.763262,,,NSR:StopPlace:3907,,700,
NSR:Quay:102393,Lillestrøm bussterminal,59.954422,11.042437,,,NSR:StopPlace:62789,1,700,20
NSR:Quay:10240,Tangen terrasse,59.863918,10.662433,,,NSR:StopPlace:5590,,700,
NSR:Quay:10241,Stortorget,59.957834,11.050639,,,NSR:StopPlace:5591,,700,
